Procedure,Lab,Mutual information,Relevant combinations,Relevance
Unplanned Line/Catheter Removal (Patient Initiated),Potassium,0.062401468,12,
Lumbar Puncture,Hemoglobin,0.011936053,12,
Unplanned Line/Catheter Removal (Patient Initiated),Glucose,0.184902198,11,
Extubation,Positive end-expiratory pressure,0.151374733,11,
Lumbar Puncture,pH,0.126949767,11,
Paracentesis,Lymphocytes,0.104815718,11,
Temporary Pacemaker Wires Discontinued,Partial pressure of carbon dioxide,0.10116999,11,
Peritoneal Dialysis,Phosphate,0.10015059,11,
Cardioversion/Defibrillation,Oxygen saturation,0.093422302,11,
Paracentesis,Platelets,0.065168299,11,
Temporary Pacemaker Wires Discontinued,"CO2 (ETCO2, PCO2, etc.)",0.040743332,11,
Percutaneous Drain Insertion,Partial pressure of carbon dioxide,0.008670694,11,
Dialysis - CRRT,Neutrophils,0,11,
Peritoneal Dialysis,Anion gap,0,11,
Peritoneal Dialysis,pH,0,11,
Peritoneal Dialysis,Platelets,0,11,
Unplanned Line/Catheter Removal (Patient Initiated),Creatinine,0,11,
Unplanned Line/Catheter Removal (Patient Initiated),Red blood cell count,0,11,
